graph,KPBB,KPBB/RR,KPBB/StrongHeuris,KPBB/RefinedUB,KPLEX,kPlexS,DiseMKP
Network-Repository-rec-epinions-user-ratings-5,7.0703,6.7265,10.3072,6.9714,795.1968,74.4102,1325.3005
Network-Repository-rec-epinions-user-ratings-8,33.7398,73.8198,42.6991,150.5775,576.0388,122.0946,3620
Network-Repository-rec-epinions-user-ratings-10,8.0197,8.4169,12.96,10.0189,409.3316,35.4387,3620
Network-Repository-rec-epinions-user-ratings-15,2154.0423,3620,3116.4323,3620,194.4415,139.0746,3620
Network-Repository-rec-epinions-user-ratings-20,627.3995,1084.9915,3620,1344.7976,1398.0395,54.303,3620
Network-Repository-SFHH-conf-sensor-2,0.0166,0.0176,0.0177,0.0177,0.0135,0.0234,0.0445
Network-Repository-SFHH-conf-sensor-5,0.0384,0.0365,0.0312,0.0384,0.0659,0.1096,0.7287
Network-Repository-SFHH-conf-sensor-8,0.2047,0.2112,0.2504,0.2528,0.2314,0.8754,7.3378
Network-Repository-SFHH-conf-sensor-10,0.1342,0.182,0.289,0.2077,0.229,1.0768,202.1219
Network-Repository-SFHH-conf-sensor-15,2.3772,3.1364,12.6157,3.4295,5.1805,29.7145,3620
Network-Repository-SFHH-conf-sensor-20,618.7523,890.401,3620,918.0455,2395.4473,3620,3620
Network-Repository-sc-TSOPF-RS-b2383-c1-2,61.5694,59.952,317.7598,60.4802,338.2388,30.1207,951.4161
Network-Repository-sc-TSOPF-RS-b2383-c1-5,13.6839,12.8629,13.7386,12.7183,24.9127,29.7603,253.863
Network-Repository-sc-TSOPF-RS-b2383-c1-8,622.9398,622.6695,518.6285,622.0833,3620,3620,3620
Network-Repository-sc-TSOPF-RS-b2383-c1-10,627.3046,618.2859,521.0446,621.5345,3620,3620,3620
Network-Repository-sc-TSOPF-RS-b2383-c1-15,386.8643,385.3531,386.7979,386.7998,24.9057,29.4021,250.2629
Network-Repository-sc-TSOPF-RS-b2383-c1-20,624.2733,624.6767,567.6434,628.4651,3620,3620,3620
Network-Repository-soc-bitcoin-2,6.034,5.6565,5.788,6.675,7.7145,553.3197,3620
Network-Repository-soc-bitcoin-5,6.2509,6.3442,10.3746,13.4729,312.932,3620,3620
Network-Repository-soc-bitcoin-8,2.8204,2.6186,2.5468,2.8315,67.5579,2223.0899,15.5727
Network-Repository-soc-bitcoin-10,3.1389,2.8707,2.582,2.7929,101.1645,3620,11.735
Network-Repository-soc-bitcoin-15,2.3485,2.5893,2.3437,2.3777,4.0821,3.6726,34.1168
Network-Repository-soc-bitcoin-20,2.3507,2.3064,2.4641,2.2592,2.9888,3.3144,9.8318
Network-Repository-soc-buzznet-2,110.1125,101.7576,204.7711,118.8019,1420.4815,3620,3620
Network-Repository-soc-buzznet-5,21.1973,25.0677,25.0488,39.8257,3620,3620,3620
Network-Repository-soc-buzznet-8,11.4405,17.2715,23.5052,17.4446,3620,3620,3620
Network-Repository-soc-buzznet-10,26.2613,84.4641,35.9559,102.3462,3620,3620,3620
Network-Repository-soc-buzznet-15,1068.1063,3620,1444.6318,3620,3620,3620,3620
Network-Repository-soc-buzznet-20,3620,3620,3620,3620,3620,3620,3620
